,SHAP value
TRDR,6.703323504351439e-05
PGM,6.491384278326572e-05
GART,6.453631650858996e-05
NDPK3,6.414510908459872e-05
ENO,6.368439899508955e-05
ICDHyr,5.677478450590298e-05
HCO3E,5.589067871594581e-05
AKGDH,4.705610298799588e-05
PSP_L,4.5801169626920926e-05
PGCD,4.561180599853708e-05
ADK1,4.528691534751797e-05
PSERT,4.491189755338001e-05
SUCOAS,3.9625269509068e-05
QMO3,3.677630027271989e-05
GHMT2r,3.302516579918818e-05
RNDR4,3.129830994239369e-05
NDPK6,3.1136288503376565e-05
RNTR2c2,2.9761948500319e-05
NDPK7,2.393908758694307e-05
RNDR3,2.3658620513071592e-05
MTHFD,1.461653317532443e-05
MTHFC,1.459886757746123e-05
ACCOAC,1.26139119976796e-05
MCOATA,1.255980617226358e-05
PTAr,7.45775190657261e-06
ACKr,7.399455033925432e-06
HPYRI,-4.047159381165055e-08
ASNNpp,-4.661964353605914e-08
HPYRRx,-5.0828446297308095e-08
CYTK2,-5.192090225704557e-08
LYSDC,-5.998098260082207e-08
DURIPP,-6.125916804116043e-08
XTSNH,-6.156895098066536e-08
G3PD7,-6.616500894424305e-08
ASNN,-1.2524273309469618e-07
PPPGO,-1.3117750406504852e-07
NDPK5,-1.373419028203837e-07
RNDR2,-1.490769594529593e-07
POR5,-1.633838207268478e-07
RNTR3c2,-2.479960064580031e-07
FBP,-2.991444894028723e-07
FBA,-3.125552148812859e-07
NADHPO,-2.176637261163538e-06
ALATA_L2,-2.206950484119054e-06
PYAM5PO,-2.215749440977393e-06
CAT,-2.312337880642453e-06
OPHHXy,-2.337472280165666e-06
MOX,-2.3916277117525082e-06
