,Coefficient
OHPBAT,3.901731887427918e-05
CTECOAI7,3.8945404130122095e-05
ECOAH5,3.8935082995377056e-05
RNTR1c2,3.8738641913123534e-05
E4PD,3.8695044882540834e-05
AKGDH,3.8674075687366343e-05
ACACT5r,3.860981372986177e-05
HACD7,3.858451926913421e-05
FADRx,3.8546598152740114e-05
SUCDi,3.848092698210499e-05
RNTR3c2,3.840860121838451e-05
3OAR140,3.840310170075589e-05
ICDHyr,3.826866750083562e-05
4HTHRK,3.8101372835766566e-05
PPC,3.803297853028011e-05
FUM,3.7996599135518006e-05
PYK6,3.798311489744801e-05
ASAD,3.794622256359211e-05
ASPK,3.7821667444034526e-05
CS,3.775187523037171e-05
PYK2,3.774768564795722e-05
SUCOAS,3.772540182721689e-05
ACONTa,3.772282908612299e-05
DRPA,3.7719342419570545e-05
PPM2,3.750272587263906e-05
4HTHRA,3.749767906274789e-05
TMDPP,3.7398460150719527e-05
RNTR2c2,3.737432394181659e-05
NADTRHD,3.733316186961152e-05
HSDy,3.7290615725670134e-05
ACONTb,3.695987508984143e-05
PYK4,3.6898822413643844e-05
ACALD,3.6340548977826334e-05
GAPD,3.618689536099842e-05
PGK,3.593575178509002e-05
HSK,3.5903567700533845e-05
THRS,3.576321272298884e-05
GND,3.4470239580171864e-05
PGM,3.430475191693266e-05
ENO,3.380077720446702e-05
PGL,3.208271168294364e-05
PGI,3.2012793826842684e-05
G6PDH2r,3.184641246535766e-05
HCO3E,3.166541770457719e-05
PDH,3.1014913793966546e-05
PSERT,3.0672836469660864e-05
PSP_L,2.9673323763636566e-05
PGCD,2.95504998588348e-05
TALA,2.8726526850028233e-05
TPI,2.8380703301552534e-05
TKT1,2.7751436345226575e-05
GHMT2r,2.5893506025104303e-05
MTHFC,1.4742631796282104e-05
ADK1,1.4729389678790167e-05
MTHFD,1.4554431961889733e-05
PYK,1.4299189515375025e-05
DHFR,1.196534572125606e-05
FBP,1.1378725042615053e-05
FBA,1.1285462827905732e-05
TKT2,7.753578828964907e-06
RPE,7.4342420626986195e-06
MCOATA,6.498037704121263e-06
ACCOAC,6.434891624074386e-06
GART,-4.579423164768171e-08
PPPGO,-6.969075498992066e-08
F6PA,-8.037550798677844e-08
ALKP,-8.323873603383749e-08
GLYCL,-1.2051774642734464e-07
ASPO6,-4.234713462021189e-07
MOX,-4.652316254223859e-07
AHGDx,-8.993479464205454e-07
SHGO,-9.064436939301448e-07
NADHPO,-9.480254511527758e-07
OPHHXy,-9.655870603783616e-07
