,SHAP value
FACOAE161,8.186159862845393e-05
ACACT3r,8.184215537000204e-05
ACACT6r,8.177186874727383e-05
HACD7,8.177114595612776e-05
AACPS7,8.175423506319241e-05
ACACT5r,8.174782381930042e-05
ECOAH7,8.174600007654768e-05
HACD2,8.173099843807963e-05
MALS,8.157625289263906e-05
HACD5,8.153969017991648e-05
AACPS4,8.143836496676021e-05
ECOAH2,8.1359389412155e-05
NDPK2,8.130842746910142e-05
ECOAH6,8.120606785654858e-05
AACPS3,8.100037399320043e-05
ICL,8.098702663631524e-05
ACOAD1fr,8.093949306415799e-05
HSDy,8.085657707681297e-05
ACOAD4f,8.077592564424508e-05
ACACT7r,8.073954998791417e-05
GARFT,8.070994675443287e-05
ECOAH5,8.062588289851818e-05
ACOAD6f,8.062260599210189e-05
DAAD,8.061138200185358e-05
HACD6,8.05154272635081e-05
TRDR,8.047547544616129e-05
3OAS140,8.037554243033391e-05
ACACT2r,8.027724015980428e-05
CTECOAI7,8.025935391911312e-05
ACOAD5f,8.022841829879304e-05
3OAR140,8.019851446954206e-05
PPCK,7.954798762748843e-05
THRS,7.732453236444766e-05
HSK,7.722948269562387e-05
ALAR,7.628683243664363e-05
ALATA_L,7.522133474081923e-05
PGM,7.511965006526671e-05
NDPK3,7.489230514914281e-05
GLUDy,7.445082555649935e-05
ENO,7.370558775456626e-05
MDH,7.350271075110786e-05
ACONTa,7.319846165532916e-05
CS,7.302870158116806e-05
PDH,7.301320864726891e-05
ACONTb,7.294606628901901e-05
FUM,7.267240684001701e-05
SUCDi,7.247198981345764e-05
GART,7.193553139780581e-05
NADTRHD,6.648261077471123e-05
HCO3E,6.395253377321133e-05
ICDHyr,5.959580230675542e-05
QMO3,5.563565860202645e-05
PSP_L,5.298537085008328e-05
ADK1,5.2810207125067204e-05
PGCD,5.262868154940157e-05
PSERT,5.222927909379209e-05
AKGDH,4.626092364734645e-05
GHMT2r,3.846762132602929e-05
NDPK5,3.726154156017341e-05
RNDR2,3.661838611643938e-05
SUCOAS,3.581776257920707e-05
NDPK7,2.9314407933029327e-05
RNDR3,2.906958013744276e-05
RNTR4c2,2.565012069796892e-05
MTHFC,1.74217833571557e-05
MTHFD,1.732335612404756e-05
ALKP,1.572678952557985e-05
F6PA,1.473820669267024e-05
MCOATA,1.3816735293889968e-05
ACCOAC,1.372219109675389e-05
PPPGO,-2.396689806112865e-07
ASPO3,-4.021417271135821e-07
RNTR2c2,-5.253239298592679e-07
FBA,-1.174894867596271e-06
FBP,-1.180059581101599e-06
MOX,-3.3325808147595816e-06
CAT,-3.6046301181552336e-06
ALATA_D2,-3.669676881301603e-06
NADHPO,-3.7179251806737223e-06
PYAM5PO,-3.774752329912329e-06
OPHHXy,-3.81998673559607e-06
