,Coefficient
HACD7,9.461498054847268e-05
HACD3,9.458688646267906e-05
ACOAD2f,9.454735244542655e-05
ECOAH3,9.452911847164076e-05
ACOAD7f,9.451775346534672e-05
HACD5,9.45032859842803e-05
ACACT3r,9.444382271965785e-05
FACOAE160,9.443858897252146e-05
PGM,9.440244092258476e-05
ECOAH1,9.437875855610352e-05
FACOAE120,9.432623561112564e-05
3OAS140,9.428780683737366e-05
SUCOAS,9.417882598478993e-05
AKGDH,9.380080221106795e-05
ACACT1r,9.359735938276316e-05
HACD1,9.354198149276945e-05
ASPK,9.354151238069807e-05
GAPD,9.350706216568335e-05
ASAD,9.327313056965196e-05
ENO,9.321131708302803e-05
PGK,9.318725059489427e-05
FBA,9.300696319856261e-05
PFK,9.272891405118303e-05
GLYCL,9.230842522014054e-05
GLUDy,9.151394817714207e-05
TPI,9.037042897906274e-05
HSDy,8.966735608918163e-05
G6PDA,8.71557853263942e-05
THRS,8.672698504500018e-05
AGDC,8.629890567790089e-05
HSK,8.625481783302175e-05
RPI,8.576536344970875e-05
MDH,8.137709984692117e-05
PSP_L,8.081845629966331e-05
PDH,8.032330857933579e-05
PGCD,8.004966653121888e-05
PFK_3,7.941389722489762e-05
PSERT,7.929682226326119e-05
FBA3,7.895199317436066e-05
GND,7.447713135317043e-05
HCO3E,7.402367919192737e-05
TKT1,6.884764066806916e-05
ADK1,6.757094666320139e-05
PGL,6.396301504437095e-05
G6PDH2r,6.224619715618949e-05
PGI,6.182446222748991e-05
RPE,6.131003307350629e-05
F6PA,5.29495598203004e-05
NDPK3,5.231063624816118e-05
TKT2,5.175301533310094e-05
DHAPT,5.168789896614209e-05
NDPK2,4.182921064565642e-05
NDPK1,3.854532140169518e-05
NDPK4,3.182203412495458e-05
PTAr,2.293606619962292e-05
ACKr,2.272370955296547e-05
NADTRHD,1.646135438141108e-05
MCOATA,1.625682419983229e-05
ACCOAC,1.621192200238157e-05
RNDR4,-7.216864883703064e-08
2DGULRy,-7.679230060553543e-08
ATHRDHr,-8.182289940799133e-08
THRA2,-8.201648659437494e-08
NTRIR2x,-9.042465952515863e-08
CYANSTpp,-1.098158137480939e-07
RNDR3,-1.17194170875103e-07
NDPK7,-1.263843033662785e-07
PPCK,-1.412201959713394e-07
ETHAAL,-1.611916147698995e-07
FLDR2,-1.682201211576177e-07
LDH_D,-1.692598875495128e-07
2DDARAA,-1.901306040343984e-07
MGSA,-1.906646920370066e-07
DXYLTD,-1.92287667364455e-07
GLYOX3,-2.109332298037698e-07
PYK2,-2.967049274746812e-07
ALCD2x,-3.917167078640665e-07
PYK4,-5.344322991774833e-07
PYK6,-8.665419391709411e-07
AGMT,-8.963022539631014e-07
PPPGO,-1.034555446319004e-06
MOX,-3.623865908421204e-06
NADHPO,-3.644713731571961e-06
PFL,-3.665043892277291e-06
OPHHXy,-3.9633918717934e-06
NADH5,-5.607989495496768e-06
MDH2,-5.783006005613121e-06
PDX5POi,-6.419155249862929e-06
